"MTU (CET/CEST)","Generation - Solar  [MW] Day Ahead/ BZN|NL","Generation - Solar  [MW] Intraday / BZN|NL","Generation - Solar  [MW] Current / BZN|NL","Generation - Wind Offshore  [MW] Day Ahead/ BZN|NL","Generation - Wind Offshore  [MW] Intraday / BZN|NL","Generation - Wind Offshore  [MW] Current / BZN|NL","Generation - Wind Onshore  [MW] Day Ahead/ BZN|NL","Generation - Wind Onshore  [MW] Intraday / BZN|NL","Generation - Wind Onshore  [MW] Current / BZN|NL"
"02.01.2021 18:00 - 02.01.2021 18:15","0","0","n/e","57","57","n/e","67","67","n/e"
"02.01.2021 18:15 - 02.01.2021 18:30","0","0","n/e","61","61","n/e","65","65","n/e"
"02.01.2021 18:30 - 02.01.2021 18:45","0","0","n/e","63","63","n/e","59","59","n/e"
"02.01.2021 18:45 - 02.01.2021 19:00","0","0","n/e","66","66","n/e","52","52","n/e"
"02.01.2021 19:00 - 02.01.2021 19:15","0","0","n/e","68","68","n/e","46","46","n/e"
"02.01.2021 19:15 - 02.01.2021 19:30","0","0","n/e","71","71","n/e","42","42","n/e"
"02.01.2021 19:30 - 02.01.2021 19:45","0","0","n/e","72","72","n/e","40","40","n/e"
"02.01.2021 19:45 - 02.01.2021 20:00","0","0","n/e","74","74","n/e","38","38","n/e"
"02.01.2021 20:00 - 02.01.2021 20:15","0","0","n/e","76","76","n/e","36","36","n/e"
"02.01.2021 20:15 - 02.01.2021 20:30","0","0","n/e","77","77","n/e","35","35","n/e"
"02.01.2021 20:30 - 02.01.2021 20:45","0","0","n/e","77","77","n/e","35","35","n/e"
"02.01.2021 20:45 - 02.01.2021 21:00","0","0","n/e","77","77","n/e","34","34","n/e"
"02.01.2021 21:00 - 02.01.2021 21:15","0","0","n/e","77","77","n/e","33","33","n/e"
"02.01.2021 21:15 - 02.01.2021 21:30","0","0","n/e","79","79","n/e","35","35","n/e"
"02.01.2021 21:30 - 02.01.2021 21:45","0","0","n/e","81","81","n/e","39","39","n/e"
"02.01.2021 21:45 - 02.01.2021 22:00","0","0","n/e","84","84","n/e","43","43","n/e"
"02.01.2021 22:00 - 02.01.2021 22:15","0","0","n/e","86","86","n/e","48","48","n/e"
"02.01.2021 22:15 - 02.01.2021 22:30","0","0","n/e","91","91","n/e","52","52","n/e"
"02.01.2021 22:30 - 02.01.2021 22:45","0","0","n/e","97","97","n/e","55","55","n/e"
"02.01.2021 22:45 - 02.01.2021 23:00","0","0","n/e","103","103","n/e","59","59","n/e"
"02.01.2021 23:00 - 02.01.2021 23:15","0","0","n/e","109","109","n/e","64","64","n/e"
"02.01.2021 23:15 - 02.01.2021 23:30","0","0","n/e","112","112","n/e","72","72","n/e"
"02.01.2021 23:30 - 02.01.2021 23:45","0","0","n/e","113","113","n/e","83","83","n/e"
"02.01.2021 23:45 - 03.01.2021 00:00","0","0","n/e","113","113","n/e","94","94","n/e"
"03.01.2021 00:00 - 03.01.2021 00:15","0","0","n/e","67","67","n/e","75","75","n/e"
"03.01.2021 00:15 - 03.01.2021 00:30","0","0","n/e","72","72","n/e","79","79","n/e"
"03.01.2021 00:30 - 03.01.2021 00:45","0","0","n/e","74","74","n/e","81","81","n/e"
"03.01.2021 00:45 - 03.01.2021 01:00","0","0","n/e","77","77","n/e","80","80","n/e"
"03.01.2021 01:00 - 03.01.2021 01:15","0","0","n/e","79","79","n/e","81","81","n/e"
"03.01.2021 01:15 - 03.01.2021 01:30","0","0","n/e","81","81","n/e","82","82","n/e"
"03.01.2021 01:30 - 03.01.2021 01:45","0","0","n/e","84","84","n/e","84","84","n/e"
"03.01.2021 01:45 - 03.01.2021 02:00","0","0","n/e","87","87","n/e","87","87","n/e"
"03.01.2021 02:00 - 03.01.2021 02:15","0","0","n/e","90","90","n/e","91","91","n/e"
"03.01.2021 02:15 - 03.01.2021 02:30","0","0","n/e","91","91","n/e","93","93","n/e"
"03.01.2021 02:30 - 03.01.2021 02:45","0","0","n/e","90","90","n/e","97","97","n/e"
